,0
0,1585
1,1299
2,1433
3,1504
4,1109
5,1548
6,1798
7,1390
8,1791
9,1340
10,1453
11,1419
12,1396
13,1448
14,1689
15,1636
16,1571
17,1408
18,1293
19,1320
20,1418
21,1402
22,1574
23,1566
24,1416
25,1415
26,1457
27,1442
28,1370
29,1498
30,1293
31,1450
32,1485
33,1306
34,1542
35,1901
36,1829
37,1405
38,1251
39,1597
40,1237
41,1265
42,1514
43,1438
44,1494
45,1471
46,1422
47,1566
48,1533
49,1311
50,1565
51,1608
52,1446
53,1380
54,1464
55,1322
56,1739
57,1519
58,1571
59,1511
60,1660
61,1533
62,1470
63,1417
64,1732
65,1458
66,1581
67,1346
68,1647
69,1408
70,1453
71,1539
72,1518
73,1355
74,1383
75,1598
76,1383
77,1705
78,1424
79,1626
80,1405
81,1344
82,1547
83,1480
84,1516
85,1492
86,1546
87,1214
88,1487
89,1365
90,1444
91,1460
92,1478
93,1491
94,1516
95,1498
96,1478
97,1465
98,1560
99,1555
100,1551
101,1467
102,1249
103,1533
104,1542
105,1706
106,1511
107,1599
108,1420
109,1583
110,1619
111,1554
112,1417
113,1311
114,1673
115,1450
116,1480
117,1548
118,1553
119,1415
120,1617
121,1233
122,1407
123,1313
124,1389
125,1400
126,1407
127,1561
128,1428
129,1549
130,1434
131,1607
132,1424
133,1362
134,1563
135,1391
136,1314
137,1446
138,1589
139,1579
140,1498
141,1395
142,1304
143,1409
144,1613
145,1199
146,1399
147,1554
148,1292
149,1599
150,1463
151,1498
152,1523
153,1345
154,1251
155,1324
156,1503
157,1468
158,1558
159,1490
160,1341
161,1387
162,1357
163,1288
164,1656
165,1378
166,1459
167,1383
168,1421
169,1474
170,1693
171,1421
172,1300
173,1392
174,1563
175,1511
176,1527
177,1570
178,1464
179,1448
180,1501
181,1367
182,1478
183,1569
184,1508
185,1390
186,1499
187,1347
188,1448
189,1488
190,1489
191,1258
192,1276
193,1424
194,1539
195,1596
196,1586
197,1393
198,1508
199,1579
200,1672
201,1391
202,1483
203,1653
204,1385
205,1419
206,1595
207,1459
208,1575
209,1628
210,1685
211,1539
212,1481
213,1710
214,1478
215,1632
216,1387
217,1382
218,1556
219,1383
220,1558
221,1401
222,1544
223,1553
224,1483
225,1480
226,1485
227,1435
228,1412
229,1435
230,1419
231,1326
232,1235
233,1334
234,1489
235,1463
236,1538
237,1662
238,1433
239,1425
240,1501
241,1405
242,1252
243,1560
244,1438
245,1579
246,1553
247,1323
248,1458
249,1316
250,1602
251,1602
252,1269
253,1520
254,1407
255,1302
256,1431
257,1697
258,1404
259,1343
260,1350
261,1827
262,1701
263,1214
264,1774
265,1607
266,1470
267,1523
268,1612
269,1549
270,1286
271,1520
272,1728
273,1439
274,1620
275,1523
276,1454
277,1408
278,1410
279,1374
280,1466
281,1519
282,1349
283,1549
284,1504
285,1542
286,1623
287,1436
288,1527
289,1515
290,1562
291,1535
292,1370
293,1503
294,1330
295,1526
296,1609
297,1588
298,1560
299,1500
