,0
0,1071
1,955
2,1027
3,872
4,980
5,877
6,881
7,894
8,855
9,897
10,798
11,913
12,953
13,1079
14,1224
15,859
16,891
17,1063
18,1076
19,953
20,988
21,966
22,957
23,965
24,1121
25,1028
26,889
27,1105
28,813
29,916
30,977
31,901
32,972
33,930
34,1010
35,875
36,1058
37,874
38,1091
39,934
40,905
41,995
42,862
43,1058
44,1096
45,824
46,963
47,902
48,898
49,939
50,864
51,855
52,904
53,934
54,974
55,1011
56,855
57,1096
58,1010
59,987
60,866
61,904
62,979
63,1022
64,1124
65,1066
66,906
67,987
68,973
69,929
70,916
71,951
72,951
73,1052
74,1040
75,1007
76,1061
77,945
78,1050
79,999
80,825
81,979
82,989
83,920
84,947
85,1004
86,1137
87,913
88,898
89,863
90,981
91,907
92,976
93,919
94,860
95,955
96,811
97,853
98,892
99,780
