,0
0,971
1,906
2,974
3,941
4,865
5,932
6,810
7,949
8,889
9,996
10,913
11,931
12,889
13,812
14,1014
15,1191
16,892
17,1018
18,930
19,835
20,839
21,1055
22,1037
23,1093
24,924
25,965
26,884
27,960
28,1027
29,826
30,905
31,896
32,804
33,945
34,992
35,924
36,997
37,961
38,775
39,763
40,1036
41,926
42,937
43,755
44,1047
45,1152
46,1018
47,1054
48,1011
49,1023
50,934
51,929
52,982
53,821
54,1034
55,998
56,1017
57,1053
58,940
59,812
60,991
61,814
62,1139
63,972
64,909
65,988
66,992
67,884
68,923
69,988
70,997
71,895
72,927
73,939
74,897
75,1134
76,901
77,1022
78,986
79,1124
80,849
81,1080
82,909
83,1031
84,814
85,942
86,819
87,806
88,904
89,919
90,848
91,967
92,776
93,1019
94,1003
95,896
96,856
97,1028
98,893
99,946
100,909
101,916
102,993
103,966
104,923
105,973
106,962
107,841
108,1079
109,932
110,941
111,1120
112,979
113,993
114,781
115,914
116,859
117,1081
118,882
119,1002
120,919
121,847
122,794
123,875
124,1044
125,902
126,903
127,961
128,942
129,780
130,893
131,915
132,842
133,1008
134,1078
135,834
136,970
137,996
138,935
139,958
140,1029
141,848
142,1032
143,872
144,893
145,870
146,1149
147,898
148,884
149,900
150,897
151,875
152,957
153,1222
154,941
155,922
156,896
157,995
158,894
159,852
160,851
161,994
162,1118
163,912
164,836
165,1032
166,988
167,857
168,942
169,930
170,1051
171,873
172,895
173,1038
174,911
175,901
176,1005
177,1142
178,780
179,864
180,902
181,984
182,960
183,1063
184,1064
185,953
186,896
187,1070
188,827
189,973
190,809
191,995
192,1078
193,873
194,910
195,968
196,1015
197,1004
198,949
199,1064
200,973
201,987
202,934
203,926
204,936
205,880
206,877
207,849
208,942
209,927
210,1111
211,852
212,990
213,1000
214,1107
215,916
216,876
217,911
218,795
219,999
220,861
221,999
222,1042
223,968
224,983
225,957
226,947
227,922
228,1034
229,1009
230,847
231,1051
232,1024
233,823
234,905
235,874
236,914
237,966
238,1008
239,866
240,912
241,811
242,879
243,988
244,922
245,931
246,955
247,906
248,901
249,937
250,961
251,981
252,916
253,1176
254,888
255,839
256,936
257,925
258,1069
259,895
260,805
261,916
262,1000
263,977
264,980
265,983
266,824
267,872
268,946
269,898
270,941
271,811
272,926
273,1114
274,956
275,994
276,1088
277,864
278,1055
279,961
280,836
281,989
282,864
283,944
284,869
285,999
286,918
287,842
288,1066
289,967
290,886
291,1005
292,903
293,940
294,811
295,990
296,851
297,954
298,1000
299,805
300,760
301,896
302,1025
303,981
304,1002
305,945
306,989
307,953
308,954
309,935
310,850
311,1007
312,979
313,967
314,944
315,896
316,824
317,1054
318,949
319,882
320,892
321,895
322,1034
323,818
324,1053
325,1050
326,989
327,1104
328,873
329,823
330,1059
331,832
332,989
333,921
334,1009
335,936
336,831
337,976
338,850
339,941
340,958
341,857
342,851
343,957
344,991
345,1080
346,971
347,1109
348,800
349,896
350,851
351,876
352,835
353,928
354,831
355,944
356,798
357,857
358,1041
359,891
360,894
361,917
362,858
363,1008
364,1138
365,1061
366,927
367,976
368,951
369,904
370,673
371,887
372,919
373,970
374,1045
375,950
376,939
377,883
378,889
379,856
380,962
381,904
382,934
383,985
384,1050
385,973
386,944
387,769
388,863
389,1032
390,820
391,921
392,887
393,797
394,949
395,958
396,888
397,879
398,779
399,1146
400,1085
401,1047
402,872
403,882
404,905
405,883
406,978
407,1045
408,1150
409,828
410,879
411,1044
412,928
413,1036
414,1008
415,995
416,944
417,879
418,855
419,952
420,901
421,893
422,951
423,984
424,938
425,956
426,1028
427,931
428,964
429,995
430,886
431,934
432,1131
433,948
434,926
435,857
436,884
437,817
438,916
439,1038
440,1135
441,861
442,1024
443,905
444,860
445,950
446,893
447,974
448,922
449,720
450,786
451,1063
452,932
453,919
454,910
455,921
456,1085
457,916
458,1055
459,1019
460,882
461,823
462,873
463,907
464,769
465,898
466,803
467,920
468,975
469,891
470,948
471,882
472,901
473,933
474,1034
475,1044
476,852
477,809
478,974
479,982
480,965
481,984
482,972
483,1010
484,948
485,980
486,1106
487,888
488,1083
489,856
490,943
491,896
492,833
493,844
494,1013
495,973
496,971
497,864
498,948
499,934
500,1115
501,851
502,856
503,927
504,928
505,910
506,958
507,874
508,930
509,884
510,881
511,886
512,957
513,941
514,932
515,1014
516,952
517,959
518,752
519,1071
520,844
521,1034
522,948
523,874
524,945
525,1028
526,992
527,942
528,909
529,978
530,977
531,917
532,963
533,914
534,926
535,973
536,989
537,999
538,895
539,980
540,847
541,899
542,890
543,971
544,872
545,1041
546,1050
547,1012
548,971
549,1041
550,1043
551,915
552,1027
553,904
554,993
555,970
556,838
557,929
558,1061
559,819
560,876
561,946
562,900
563,1118
564,1064
565,1034
566,955
567,948
568,1080
569,907
570,1011
571,798
572,999
573,880
574,923
575,903
576,1031
577,875
578,854
579,881
580,886
581,1133
582,882
583,883
584,922
585,885
586,940
587,1158
588,923
589,837
590,821
591,984
592,854
593,861
594,1087
595,934
596,885
597,975
598,1102
599,870
600,935
601,883
602,920
603,862
604,918
605,981
606,944
607,874
608,942
609,880
610,1005
611,766
612,1008
613,973
614,1000
615,963
616,971
617,981
618,815
619,974
620,1078
621,981
622,1039
623,864
624,1091
625,913
626,847
627,944
628,1021
629,834
630,859
631,873
632,1084
633,864
634,938
635,938
636,938
637,1036
638,914
639,866
640,987
641,895
642,948
643,974
644,927
645,968
646,972
647,981
648,967
649,1052
650,1049
651,847
652,909
653,800
654,897
655,716
656,854
657,858
658,935
659,876
660,910
661,1022
662,981
663,1117
664,1015
665,1000
666,1005
667,1005
668,840
669,889
670,892
671,1030
672,809
673,955
674,1028
675,910
676,834
677,995
678,916
679,998
680,775
681,1155
682,902
683,912
684,887
685,819
686,918
687,1011
688,988
689,1044
690,984
691,940
692,1021
693,884
694,934
695,965
696,861
697,884
698,889
699,748
700,1078
701,882
702,1028
703,914
704,789
705,865
706,877
707,838
708,880
709,915
710,1020
711,856
712,913
713,889
714,906
715,954
716,985
717,867
718,844
719,933
720,816
721,883
722,912
723,972
724,940
725,745
726,926
727,912
728,989
729,1006
730,905
731,835
732,931
733,955
734,827
735,865
736,932
737,855
738,1025
739,885
740,862
741,868
742,855
743,838
744,1074
745,980
746,881
747,989
748,939
749,868
750,829
751,961
752,919
753,864
754,910
755,888
756,958
757,980
758,879
759,1033
760,955
761,977
762,906
763,965
764,922
765,1039
766,966
767,865
768,912
769,935
770,900
771,944
772,998
773,963
774,987
775,787
776,943
777,819
778,1049
779,933
780,987
781,1052
782,900
783,950
784,1025
785,965
786,907
787,986
788,1026
789,801
790,788
791,912
792,878
