,0
0,987
1,1003
2,967
3,1028
4,938
5,1061
6,1048
7,1016
8,1022
9,1000
10,935
11,903
12,957
13,1081
14,1036
15,1223
16,1032
17,1020
18,1070
19,901
20,1109
21,1049
22,1049
23,1108
24,936
25,1009
26,955
27,888
28,1205
29,1060
30,1014
31,974
32,942
33,993
34,863
35,1332
36,984
37,1007
38,1041
39,1251
40,882
41,968
42,1066
43,979
44,1130
45,817
46,1128
47,974
48,954
49,885
50,1027
51,1044
52,953
53,976
54,1224
55,866
56,971
57,998
58,1089
59,934
60,1006
61,941
62,898
63,768
64,1175
65,1120
66,842
67,1046
68,894
69,1144
70,986
71,926
72,1130
73,1035
74,1104
75,991
76,964
77,1173
78,1097
79,938
80,1045
81,843
82,889
83,1059
84,902
85,1007
86,850
87,992
88,1071
89,880
90,906
91,910
92,916
93,850
94,1052
95,1059
96,1047
97,1005
98,1045
99,1102
