,0
0,913
1,1032
2,1117
3,1090
4,1128
5,1010
6,1068
7,1018
8,952
9,981
10,1031
11,904
12,1095
13,1020
14,896
15,944
16,988
17,924
18,1315
19,977
20,918
21,1200
22,1089
23,941
24,1146
25,976
26,982
27,953
28,1009
29,922
30,1003
31,1006
32,1040
33,1030
34,953
35,909
36,1068
37,875
38,1040
39,1136
40,1078
41,971
42,1005
43,974
44,833
45,983
46,1087
47,1066
48,1146
49,1047
50,910
51,1026
52,996
53,930
54,947
55,1073
56,1096
57,869
58,944
59,1091
60,1056
61,962
62,769
63,976
64,981
65,817
66,1026
67,1154
68,1007
69,944
70,1076
71,1062
72,1171
73,970
74,1019
75,973
76,1224
77,905
78,1085
79,946
80,1102
81,1046
82,991
83,844
84,1005
85,928
86,1115
87,1073
88,861
89,1026
90,858
91,939
92,959
93,1345
94,1064
95,879
96,1084
97,1002
98,1193
99,957
100,949
101,868
102,1083
103,914
104,909
105,1041
106,937
107,862
108,1099
109,1006
110,1030
111,976
112,1007
113,810
114,906
115,1049
116,1056
117,991
118,1137
119,988
120,1042
121,1050
122,961
123,992
124,1122
125,1113
126,819
127,865
128,913
129,912
130,971
131,1021
132,1032
133,922
134,1045
135,849
136,1009
137,1138
138,1047
139,1043
140,972
141,902
142,1071
143,1007
144,957
145,1082
146,885
147,1051
148,1081
149,886
150,926
151,1066
152,1140
153,994
154,1023
155,1000
156,1364
157,936
158,847
159,998
160,1078
161,900
162,1010
163,1108
164,959
165,1047
166,1142
167,904
168,931
169,1103
170,946
171,978
172,855
173,972
174,958
175,1040
176,1185
177,954
178,959
179,806
180,1095
181,942
182,948
183,929
184,1010
185,838
186,1048
187,1003
188,1012
189,896
190,861
191,987
192,892
193,993
194,919
195,1086
196,940
197,984
198,1091
199,1114
200,1011
201,946
202,868
203,1001
204,1040
205,1157
206,1062
207,939
208,956
209,943
210,916
211,936
212,1015
213,935
214,1045
215,1015
216,953
217,907
218,986
219,1058
220,948
221,1036
222,1021
223,1258
224,939
225,851
226,903
227,998
228,1091
229,1158
230,1040
231,1088
232,1101
233,1221
234,970
235,924
236,1078
237,922
238,990
239,896
240,1003
241,1106
242,932
243,1057
244,1058
245,986
246,985
247,1029
248,1105
249,1038
250,852
251,942
252,1049
253,1058
254,982
255,924
256,1151
257,993
258,1052
259,858
260,977
261,1013
262,988
263,919
264,1058
265,919
266,1185
267,955
268,957
269,1018
270,1002
271,1127
272,863
273,904
274,951
275,882
276,941
277,916
278,1155
279,1009
280,1230
281,1010
282,1042
283,990
284,1050
285,1081
286,1009
287,973
288,887
289,1117
290,1094
291,935
292,1031
293,927
294,909
295,971
296,951
297,1035
298,937
299,1133
300,1052
301,1079
302,1067
303,1013
304,1175
305,942
306,1026
307,1119
308,934
309,979
310,1091
311,800
312,967
313,987
314,892
315,1154
316,1063
317,950
318,854
319,1002
320,1002
321,1119
322,1139
323,993
324,996
325,1037
326,934
327,942
328,975
329,891
330,1054
331,917
332,1043
333,892
334,1045
335,1020
336,1052
337,904
338,980
339,1073
340,913
341,1133
342,879
343,1005
344,1025
345,991
346,1004
347,978
348,1036
349,1097
350,1010
351,1009
352,1016
353,1076
354,1078
355,979
356,960
357,930
358,881
359,980
360,1124
361,971
362,1118
363,967
364,872
365,984
366,981
367,1056
368,1140
369,1052
370,1093
371,982
372,821
373,1050
374,988
375,925
376,923
377,920
378,1143
379,1055
380,976
381,918
382,1007
383,927
384,931
385,1033
386,1059
387,1022
388,1124
389,1124
390,1039
391,869
392,945
393,898
394,978
395,891
396,964
397,888
398,1084
399,969
400,935
401,841
402,1016
403,1081
404,977
405,955
406,1076
407,881
408,928
409,1028
410,1051
411,961
412,1074
413,975
414,940
415,938
416,1067
417,899
418,1047
419,1088
420,1002
421,986
422,849
423,999
424,1108
425,944
426,1032
427,1013
428,1016
429,991
430,1072
431,1079
432,1028
433,1145
434,1090
435,962
436,895
437,910
438,956
439,989
440,1076
441,892
442,913
443,1011
444,1034
445,916
446,807
447,1140
448,1002
449,949
450,872
451,895
452,1142
453,936
454,921
455,1047
456,1222
457,1017
458,933
459,1188
460,1058
461,991
462,1017
463,1041
464,1095
465,981
466,937
467,1075
468,1009
469,1141
470,1007
471,961
472,1008
473,968
474,928
475,895
476,908
477,945
478,907
479,1085
480,907
481,949
482,960
483,1004
484,1049
485,1019
486,1122
487,942
488,834
489,975
490,892
491,1070
492,1079
493,946
494,894
495,961
496,949
497,1140
498,944
499,1194
500,985
501,1014
502,908
503,1000
504,1230
505,1120
506,885
507,1005
508,986
509,1091
510,890
511,1072
512,890
513,976
514,1031
515,1018
516,858
517,1103
518,985
519,1193
520,1010
521,953
522,1036
523,853
524,1038
525,983
526,914
527,1115
528,1005
529,1074
530,961
531,990
532,1005
